Date,Open,High,Low,Close,Adj Close,Volume
1/2/2020,74.059998,75.150002,73.797501,75.087502,74.444603,135480400
1/3/2020,74.287498,75.144997,74.125,74.357498,73.72084,146322800
1/6/2020,73.447502,74.989998,73.1875,74.949997,74.308266,118387200
1/7/2020,74.959999,75.224998,74.370003,74.597504,73.958794,108872000
1/8/2020,74.290001,76.110001,74.290001,75.797501,75.148521,132079200
1/9/2020,76.809998,77.607498,76.550003,77.407501,76.744728,170108400
1/10/2020,77.650002,78.167503,77.0625,77.582497,76.918221,140644800
1/13/2020,77.910004,79.267502,77.787498,79.239998,78.561531,121532000
1/14/2020,79.175003,79.392502,78.042503,78.169998,77.500702,161954400
1/15/2020,77.962502,78.875,77.387497,77.834999,77.168564,121923600
1/16/2020,78.397499,78.925003,78.022499,78.809998,78.135223,108829200
1/17/2020,79.067497,79.684998,78.75,79.682503,79.000244,137816400
1/21/2020,79.297501,79.754997,79,79.142502,78.464882,110843200
1/22/2020,79.644997,79.997498,79.327499,79.425003,78.744957,101832400
1/23/2020,79.480003,79.889999,78.912498,79.807503,79.124184,104472000
1/24/2020,80.0625,80.832497,79.379997,79.577499,78.896149,146537600
1/27/2020,77.514999,77.942497,76.220001,77.237503,76.576187,161940000
1/28/2020,78.150002,79.599998,78.047501,79.422501,78.742477,162234000
1/29/2020,81.112503,81.962502,80.345001,81.084999,80.390747,216229200
1/30/2020,80.135002,81.022499,79.6875,80.967499,80.274246,126743200
1/31/2020,80.232498,80.669998,77.072502,77.377502,76.714989,199588400
2/3/2020,76.074997,78.372498,75.555,77.165001,76.504311,173985600
2/4/2020,78.827499,79.910004,78.407501,79.712502,79.029999,136616400
2/5/2020,80.879997,81.190002,79.737503,80.362503,79.674438,118826800
2/6/2020,80.642502,81.305,80.065002,81.302498,80.606384,105425600
2/7/2020,80.592499,80.849998,79.5,80.0075,79.510727,117684000
2/10/2020,78.544998,80.387497,78.462502,80.387497,79.888359,109348800
2/11/2020,80.900002,80.974998,79.677498,79.902496,79.406372,94323200
2/12/2020,80.3675,81.805,80.3675,81.800003,81.292099,113730400
2/13/2020,81.047501,81.555,80.837502,81.217499,80.713219,94747600
2/14/2020,81.184998,81.495003,80.712502,81.237503,80.733086,80113600
2/18/2020,78.839996,79.9375,78.652496,79.75,79.254822,152531200
2/19/2020,80,81.142502,80,80.904999,80.402649,93984000
2/20/2020,80.657501,81.162498,79.552498,80.074997,79.577805,100566000
2/21/2020,79.654999,80.112503,77.625,78.262497,77.776558,129554000
2/24/2020,74.315002,76.044998,72.307503,74.544998,74.082146,222195200
2/25/2020,75.237503,75.6325,71.532501,72.019997,71.572823,230673600
2/26/2020,71.6325,74.470001,71.625,73.162498,72.708221,198054800
2/27/2020,70.275002,71.5,68.239998,68.379997,67.955421,320605600
2/28/2020,64.315002,69.602501,64.092499,68.339996,67.915665,426884800
3/2/2020,70.57,75.360001,69.43,74.702499,74.238663,341397200
3/3/2020,75.917503,76,71.449997,72.330002,71.880898,319475600
3/4/2020,74.110001,75.849998,73.282501,75.684998,75.215065,219178400
